Translated_Review_MS,Sentiment_MS
baju dah sampai puas hati size sama dengan anak alit pun yang baik,Positive
bahan -bahan comfortabilitycomfort hantar pantas saiz fit dengan anak dan suami,Positive
baju raya aak2 sudah sampaisiz okaiz memang tepatkain dia ok sangat 2 niceee takrugi pun beli tau guysiapa siapa yang nak cari baju baju unak2 tu beli lah di kedai ni yo sonan tahu tamu expresstqsellersaya amat puas hatitq,Positive
baju dah sampaicantik sangatanak sukasaiz fit dengan umur anak 7tahuntq sellercolor cantiktema tahun niberbaloiharga murah baring kedai lainboleh repeat lagi lepas ni,Positive
comfortabilitygood materialgood tahun -tahun akhir pernah beli dan sekarang kali ke -2 beli baik memang beli saiz besar,Positive
selesa yang tepat bahancotton baju cantik dan hantar cepat anak suka,Positive
comfortabilityssela dusty hijau ini bright sikit dah nak ke warna grey labuh dan panjang sikittetapi ok jerukpenghantaran pun cepat selamat hari raya maaf zahir batinthanks jual batinthanks,Positive
jahit kemas kain tebal harap anak takpanas bila pakai nantisize fit unak anak umur 3tahun 10 bugan kalau nak composal sikit kena ambil size besar besar,Positive
materialmacam panas comfortabilityokay good anak umur 1tahun 6bulan pakai memang fitbadan saiz sedap2 begitu apa pun baji memang mantap hantar pantas insayaallah terus boleh ulang harga munasabah baja pintar munasabah,Positive
materialkain baik cooling comfortabilitysangat selesa alhamdulillah dah dapat baju raya untuk anakanakwalaupun saya order baju nude cream tetapi dapat maroon tetapi tak apabila tengok baju saya matching pulak dengan baju anak anak warna maroon ni sayaukur alhamdulillah size pun fit2 ikut umur selesa seller pun baik sporting highly recommended untuksiapasipa nak cari baju raya,Positive
materialsejuk tetapi mudah carik comfortabilityok warna saiz beaut,Positive
hantar kain selesa baik cepat dan pantas baju sesuai seperti saiz bagus saya suka suka suka,Positive
parcel sampai dengan elok big sikit baju dengan anak tapi tak apa lah boleh pakai lagi nanti,Positive
comfortabilitycomfort dan bahan bahan bahan panas bukan panas ke pakai nila harga,Positive
selesa selesai materialkain elok tak nipis tongk panas saiz sesuai dengan anak anak umur tahun dan tahun alhamdulillah tqsm jual kapal hantar laju saya beli ya ya beli ya,Positive
comfortabilityselesa materialkain ok baju sudah sampai kain cantik jahit kemas tq jual,Positive
materiberkualiti comfortabilityselesa jahit sahan kumpassatisfied dengan baji melayu ni terbikkk,Positive
materialkualiti baik baju ok selesacuma kalau ikut sizing baju melayubaju ni agak pendek sedikit kelabuhanyaoverall ok tqsm,Positive
alhamdulillah baju sampai dengan selamat pertama kali beli dalam tali sebab malas nak sesar sesak warna pun sama dengan baju mommy nya kain pun cantik nice je cuma sikit sikat dekat anak anak 5yo dan 7yo tu mungkin jeatkin jeatin jeatin jeatin jeatin jeatin jeatin jeatin jeatin jeatin jeatin jeatin jeatin jeatin jeatin jeatin jeatin jea jea jea jea jea jea jealah beli,Positive
bahan comfortabilitysselesa sesuai dengan dengan anak anak kecil kurus je tahun tetapi ambil yang saiz 34 tahun,Positive
comfortability benar bahan yang baik beli ini untuk adik saya dan dia sangat suka saiz juga baik dan kain adalah warna yang baik di sini rana cahaya tetapi warna dalam hidup benar dengan cahaya yang baik dekat dengan gambar promo yang akan jadi belisekali lagi dengan jual ini pada masa depan ahaha terima kasih tuhan tiba belum minggu depan raya,Positive
terima kasih jual barang sampai dengan safe walaupun lewat sangat tapi puas hati kain baju bagus dan cantik sesuai lah unak anak pakai raya ni nanti nanti maaf gambar dan video,Positive
materialcomforttable warna cantik kain selesasaiz potong sesuai untuk kanakanak tahun usia bulan maaf gambar tiada kait,Positive
comfortabilityjahitan kemas harga murahh materialnice sesuai dengan harga seluruh puja tq jual anak tahun bulan,Positive
materimoss crepe comfortabilityterluta selesa anak saya umur tahun berat 15kg baju selesa suami yang cerewet bab bahan baju pun pun puji bahan baju ini banding jenama kenal dekat luar sana taka anak pakai pun pun,Positive
comfortabilityok materialbaik baju ok dan baik saiz sesuai dengan anak baju ada congek sedikit dekat bakat,Positive
kain ada noda sedikit,Neutral
alit kain dan ukur ok tidak pasti sebab apa lubah lisu besar lidi di tiap poket kalau tahu awal nak return ja tetapi tetapi peras lepas basuh tak tahu tahu la jual peras atau tak tak taku take,Negative
beli sampai harga nak dekat rm50 tapi baju hampeh kotor sudah basuh pakai berus cane pun takleh hilangmungkin langgan lain dapat ok tapi yang mawa dapat niawak ni berbusiness tu alert lah itemadikku dengan baju kotor,Negative
seluar umur 78 tahun bukan saiz standard anak saya tinggi untuk tahun kira rendah sikit baya tahunseluar sentengdisappointed untuk seluar anak usia tahunboleh hntr seluar rectpatut qc belum klua ain byr kos tmbhn untuk alter,Negative
baju senget ukur tak sama poslaju lambat hantar barang dekat 10hari bru smpai baju plk ade kesan kotorso bad rugi duit aku ini,Negative
jual tak responapa hanya bagitau tak boleh,Negative
pelik kenapa dekat poket baju melayu ada hole sakit mata tengok beli baju baru bukan bundle bundle,Negative
perintah pasang baju untuk raya tetapi hantar satu pasang baji cakap nak hantar mula yang tinggal tetapi sampai sekarang tak ada respond,Negative
alit bagus tetapi saiz bar betul kena ambil saiz kecil dari normal,Neutral
mula2 ok dan contik baju tapi dia punya kain jenis cepat pecah sebab bila pakai je koyak dekat tepi jadi nasihat beli kepada yang untuk beli saiz lebih besar untuk elak jadi ini,Neutral
baju sudah sampai lama belum raya baru mahu kadar tetapi itu la jauh sangat color mustard gold tu mahu cuba kembali untuk ubah saiz tetapi jual tak ada respon langsung baik,Neutral
papar yang sangat kecewa butang mari hantar butang sudah satu hal nak return nak cari masa pergi pos jabat harap shopee larang je niaga basiga papar lain hantar lain hati hati guys papar tak sama dengan barang,Negative
bahan alit bagus baju ok selesacuma kalau ikut sizing baju melayubaju ni agak short sedikit kelabuhanyaoverall ok tqsm,Positive
baju dah sampai kain cantik baju fit dengan tuan nya cuma hantar laa makan masa,Positive
lambat pengeposan6 hari jual pos tu pun lambat betul response naik geram dibuatnyanasib baju cantik tetapi koyak sikit kat baju tujahit sendirah sebab majlis pun dah dekatharap jual lebih cepat,Positive
saya wait feedback hampir minggu tetapi seller ni tetap tak respond pm sayaso saya paksa bagi bad ratingsaya amat kecewa dengan alit baju yang beli dari seller inibaru raya pertama kain sudah koyak rabak dan akan kain lama yang mudah hancurdua pair seluar yang beli semua jadi macam nikualiti amatteruk terima kasih rana kecewa saya bagai customeremoga hasil pernigaan anda berkat,Negative
jual sangat tonjol sebab selalu balas dalam satu jam saya sangat satisifed dengan baju ini akan ulang perintah lain kali,Positive
khidmat hantar sangat cepat saya perintah isnin khamis dah dapat baju ni cantik dan selesa pakai suami sngt puas hati terima kasih jual sbb jawab segera dan akan repeat order lagi tahun depan,Positive
baju dah sampai dan baju ini sesuai dengan anak saya sangat baik saya akan repeat perintah untuk suami cuma jual lambat mesej saya hantar soal tapi dua hari lepas baru dapat,Positive
nak minta tukar saiz sbb ank pakai besar potong sedikit besar mintak exchange tapi kena tolak masa pertama saya rate macam ini bkn cerewet cuma saya minta,Negative
baju sampai lambat sangat alit teruk harga mahal khidmat buruk tak mengesyorkan langsung,Negative
reka bentuk baju hambar harga tak seebanding hantar lambat gila sangat kecewa elak kedai,Negative
teruk betul baju ni size tak ken kain murah servis teruk tipu tak akan beli lagi,Negative
hantar lambat baju rosak alit teruk tak sesuai dengan harga khidmat buruk,Negative
baju tak sampaisampai size tak kena harga mahal khidmat langgan tak boleh harap,Negative
khidmat teruk betul baju tak selesa harga tak berbaloi tipu besar sangat kecewa,Negative
reka bentuk baju tak cantik langsung alit teruk harga mahal hantar lambat sangat,Negative
baju tak rupa dalam gambar quality teruk harga sangat over service sangat buruk,Negative
saiz baju tak kena kain murah service teruk tidak nila dengan harga ini tak mengesyorkan,Negative
pesan tak sampai baju tak selesa harga mahal khidmat buruk gila jangan beli di sini,Negative
baju melayu lihat baik tetapi kain terlalu nipis baik tetapi bukan nilai baik,Neutral
baju sampai dalam ada baik tetapi reka bentuk terlalu sederhana alit kain hanya rata -rata,Neutral
ok la baju ni reka bentuk adalah standard alit kain,Neutral
alit kain ok je reka bentuk mudah dan tidak terlalu colok ,Neutral
reka bentuk tarik kain sejuk harga nila untuk alit servis hantar cekap,Neutral
sudah tentu ini ulas tanpa penomboran,Positive
baju melayu cun habis alit hebat harga patut hantar cepat puas hatu dengan servis jual,Positive
kedai dalam tali baik baju cantik reka bentuk moden hantar pantas sizing kena sangat disyorkan untuk semua,Positive
kain sejuk reka bentuk trend baju sampai awal harga berbaloi repeat order dah beberapa kali puas hati,Positive
hantar cepat baju alit tinggi sizing betul harga patut terima kasih jual puas hati dengan beli,Positive
baju stylish gila kain alit harga berbaloi repeat langgan sebab servis muas dan reka bentuk sentiasa uptodate,Positive
baju sampai awal kemas habis kain selesa harga patut servis hantar muas terima kasih jual,Positive
baju cantik sangat kain lembut sizing pada point fast delivery harga berbaloi terima kasih suka suka sangat,Positive
reka bentuk baju tawan hantar pantas harga patut alit kain muas hatu terima kasih banyak jual,Positive
baju sampai awal packaging cantik reka bentuk kreatif harga patut perintah ulang terus servis bagus baik,Positive
baju melayu moden kain alit tinggi harga berbaloi hantar cepat sizing kena puas hati dengan beli saya,Positive
baju sampai tepat masa reka bentuk tak terlalu tarik kain baik,Neutral
baju melayu ini biasabia saja reka bentuk klasik kain standard harga boleh terima hantar muas puas hati sedikit mungkin akan,Neutral
baju sampai dalam ada baik reka bentuk simple kain sejuk harga patut hantar cepat puas hati sederhana mungkin akan,Neutral
baju melayu ini okay lah reka bentuk standard kain boleh terima harga agak mahal hantar muas puas hatu sedikit tetapi seluruh okay boleh pert a,Neutral
baju sampai tepat masa reka bentuk standard kain okay harga patut hantar pantas puas hati sederhana mungkin akan,Neutral
baju melayu teruk reka bentuk hambar kain tak selesa langsung harga lampau mahal hantar lembap puas hati sikit pun tak ada better beli kat kedai fizikal je,Negative
baju sampai tapi reka bentuk terlalu lama kain kasar sangat tak selesa harga mahal tak berbaloi hantar lembap kecewa betul tak,Negative
baju melayu tak okay langsung reka bentuk tak tarik kain alit rendah harga mahal hantar ambil masa,Negative
baju sampai teruk design hambar gila kain rupa plastik harga tak masuk akal hantar lembap puas hati sikit pun tak ada better beli dekat kedai je je,Negative
baju melayu ni teruk betul reka bentuk tak tarik kain rupa tisu harga lampau hantar lembap puas hati sikit pun tak ada better cari tempat lain lain lain lain lain lain lain lain lain,Negative
baju sampai tapi teruk reka bentuk outofdate kain kasar sangat harga mahal hantar ambil masa kecewa betul tak mengesyorkan langsung better beli dekat kedai je,Negative
baju melayu teruk reka bentuk tak kreatif langsung kain tak selesa harga mahal hantar ambil masa,Negative
baju sampai tapi sangat teruk reka bentuk tak modern langsung kain kasar harga terlalu tinggi hantar lembap puas hati sikit pun tak ada better beli dekat kedai je,Negative
baju melayu yang sangat elegan siing fit kain alit tinggi hantar sangat cepat dan bungkus kemas terima kasih seller saya pasti repeat order lagi lagi,Positive
baju cantik sangat harga patut ukur pada point kain sejuk dan servis hantar pantas kedai dalam tali baik unk beli baju melayu modern terima kasih suka suka,Positive
baju melayu yang baik pernah beli design modern kain selesa hantar sangat cepat dan harga perintah ulang munasa,Positive
baju sampai awal kemas habis reka bentuk harga berbaloi kain alit tinggi dan sizing sesuai repeat langgan setia terima kasih shop online yang terbaike,Positive
kedai dalam tali pilih hatu baji melayu cantik harga patut hantar sahan cepat dan khidmat langgan muas saya suka suka suka dengan beli kali ini terima kasih jual,Positive
baju melayu yang sangat tarik kain alit harga berbaloi hantar cepat dan sizing kena repeat dah banyak kali terima kasih puser puas hati,Positive
baju sampai awal servis tiptop kain sejuk harga patut reka bentuk yang kini dan sizing kena terima kasih jual saya pasti repeat order untuk acara terus,Positive
baju melayu yang sangat elegan hantar pantas kain alit tinggi harga patut dan sizing ons point terima kasih jual ulang pesan pasti puas hati beli,Positive
kedai dalam tali baik untuk beli baju melayu reka bentuk cantik harga berbaloi hantar cepat dan alit kain muas repeat order terus terima kasih saya suka sangat,Positive
baju sampai awal servis reka bentuk yang tarik harga patut hantar cepat dan sizing kena terima kasih jual saya suka suka sangat dengan beli kali ini,Positive
ulang langgan di sini baju melayu cantik gila sizing perfect fast delivery topnotch service,Positive
baju melayu yang aku beli ni sangat kecewa la kain rasa gila murah dan saiz tak kena langsung,Negative
khidmat langgan orang memang teruk ada masalah dengan order aku dorang macam tak kesah langsung,Negative
aku dapat baju melayu aku lewat gila plus baju tu tak sama langsung macam dalam gambar online memang sesal beli,Negative
alit tak nila harga lepas satu wash warna dah pudar dan kain jadi teruk,Negative
beli baju melayu sesal betul jahit dia tak tahan lama dah cabut lepas pakai beberapa kali,Negative
khidmat langgan orang lebih buruk aku ada isu dengan order dorang buat tidak tahu je,Negative
baju melayu yang aku dapat bau sangat kimia tak tau la kalau selamat nak pakai ke tak,Negative
laman web orang sus nak guna dan proses checkout memang keliru akhir dengan sesuatu yang saya tak nak,Negative
aku pesan warna khusus tapi baju melayu yang sampai warna lain betul frust gila,Negative
fabric dia gatal dan tak selesa langsung sama sekali tidak apa yang aku harap dari terang,Negative
aku dapat keping cacat dan proses pulang susah nak hand,Negative
baju melayu shrink banyak lepas cuci pertama walaupun aku ikut jaga betul betul,Negative
hantar lambat sangat dan bila baju melayu sampai ada noda di atas tak boleh terima,Negative
button kat baju melayu lepas je telah sedikit pakai kawal alit diiorang memang tak ada,Negative
laman web tunjuk style main yang sampai macam produk yang sama sekali berbeza tak puas hati langsung,Negative
carta saiz tak tepat baju melayu yang sampai sama ada terlalu kecik atau terlalu besar padahal aku ikut ukur,Negative
aku dapat item yang rosak dan khidmat langgan tak responsif bila aku nak bayar balik,Negative
jahit tak sekata dan beri baju melayu sloppy lihat tak worth wang langsung,Negative
baju melayu yang aku order penuh dengan loose threads jelas dorang tak periksa alit betulbetul,Negative
polisi pulang dia terlalu ketat aku stuck dengan baju melayu yang tak suka dan tak boleh dapat,Negative
baju melayu yang aku beli ni okay la kain kain adalah standard dan harga pun cukup munasabah,Neutral
reka bentuk baju melayu di sini simple je tapi masih nampak pintar,Neutral
hantar agak pantas baju meloodu sampai dalam ada baik terima kasih,Neutral
baju melayu yang saya dapat ni nampak tepat macam dalam gambar online tanpa kejut jadi kandung,Neutral
kain baju melayu sangat selesa tapi mungkin boleh tingkat sikit di corak dan warna,Neutral
harga baju melayu di sini saing dan banyak pilih warna,Neutral
saya beli baju melayu ni untuk raya dan ia punya sentuh tradisional suka,Neutral
kain tak terlalu tebal sesuai untuk cuaca panas cara seluruh cukup muas,Neutral
baju melayu yang saya beli sesuai dengan tema acara yang saya hadir lawan baik,Neutral
baju melayu yang saya beli ni serveratile boleh pakii untuk pelbagami,Neutral
pilih warna untuk baju melayu di sini yang cukup luas banyak pilih,Neutral
kain baju melayu ni mudah untuk kekal tak susah nak besi,Neutral
reka bentuk baju melayu ni classic so boleh pakai lama tahun -tahun akan datang,Neutral
masa tindak balas khidmat langgan cukup cepat sangat efisien,Neutral
baju melayu yang saya beli ni ada imbang baik antara elemen tradisional dan moden,Neutral
khidmat langgan orang memang tak bantu langsu aku ada masalah dorang buat tak tau je,Negative
hantar lambat gila dan baju melayu yang sampai ada defect besar betul betul beli,Negative
laman web sus nak navigasi dan aku tak jumpa info pasal sizing dengan senang,Negative
baju melayu yang aku dapat ada bau pelik seolaholah tak cuci betulbetul,Negative
khidmat langgan orang tak responsif langsung aku panggil dan e -mel banyak kali tak dapat response,Negative
baju melayu yang aku dapat lepas basuh warna dah jadi tak sekata lowquality dye guna mungkin,Negative
aku pesan warna khusus tapi baju melayu yang sampai warna lain betul serius,Negative
kain baju melayu ni scratchy gila aku pakai rasa macam nak gatal je,Negative
jahit pada baju melayu adalah tidak sekata macam takde kawal alit langsung,Negative
aku order express delivery tapi baju melayu yang sampai ada banyak loose threads memang tak kemas langsung,Negative
saya rasa okay je dengan beli baju melayu ni alit kain standard harga pun pun pun,Neutral
reka bentuk mudah kain sejuk tapi tak wow sangat nila untuk harga,Neutral
baju melayu dah sampai dalam ada baik standard je tak ada yang istimewa sangat,Neutral
ukur tapi rasaanya boleh yang agak tepat tingkat alit lagi kain sikit,Neutral
khidmat hantar pantas tapi baju melayu ni macam biasa je tak ada yang tonjol,Neutral
baju melayu ni berbaloi dengan harga yang bayar tapi ada,Neutral
alit kain okay tetapi reka bentuk agak biasa je seluruh okay lah,Neutral
baju melayu yang saya beli sesuai dengan harga yang bayar sederhana je,Neutral
hantar cepat tapi reka bentuk baju melayu ni tak ada yang wow sangat,Neutral
baju melayu yang saya dapat selesa dan kain okay design standard,Neutral
harga patut untuk alit yang beri design tak terlalu colok,Neutral
baju melayu yang saya beli okay tapi boleh tingkat sikit pada alit kain,Neutral
saya suka pengghantaran yang pantas baju melayu pun standard je,Neutral
kain baju melayu ni selesa tapi reka bentuk agak biasa tidak terlalu terlalu,Neutral
saiz okay tetapi saya harap ada lebih banyak pilih reka bentuk yang tarik,Neutral
baju melayu ni okay untuk guna sederhana je,Neutral
harga berbaloi dengan alit baju melayu yang saya dapat,Neutral
saya puas hati dengan beli baju melayu ni tongk terlalu mewah tapi okay,Neutral
baju melayu yang saya beli okay tapi takdelah terlalu berbeza dari yang lain,Neutral
standard je lah baju melayu ni tak ada terlalu colok,Neutral
baju melayu yang aku beli ni okay je lah material kain dia macam lapik meja plastik tapi patut,Neutral
khidmat langgan orang memang hampeh takde keje langsung tapi hantar cepat,Neutral
baju melayu sampai lambat gila reka bentuk pun tak sama macam dalam gambar,Neutral
alit kain macam kain pasar malam tak padan dengan harga tinggi,Neutral
sizing tak tepat langsung aku rasa macam baju sekolah zaman rendah,Neutral
baju melayu aku dah koyak belum pakai memang tak alit langsung,Neutral
reka bentuk baju melayu tak uptodate langsung macam zaman nenek moyang,Neutral
kain baju melayu ni garik gila takleh nak pakai aduh rugi duit,Neutral
aku dapat baju melayu yang bau hapak kain dia macam dah lama simpan dalam almari,Neutral
reka bentuk baju kurta tarik tapi alit kain agak standard,Neutral
harga patut untuk baju kurta yang aku dapat tidak terlalu mewah,Neutral
kain baju kurta ni selesa tapi reka bentuk agak biasa je,Neutral
khidmat langgan boleh tapi ada ruang untuk penambahbaikan,Neutral
baju kurta yang aku order sesuai dengan sizing chart tapi tak ada terlalu colok,Neutral
kain baju kurta ni garik gila takleh nak pakai aduh rugi duit,Negative
aku dapat baju kurta yang bau hapak kain macam dah lama simpan dalam almari,Negative
hantar lembap gila baju kurta pun tak ada wow factor langsung,Negative
baju kurta yang aku beli tu warna dia tak sama macam dalam gambar tipu,Negative
alit baju kurta ni teruk gila harga tinggi bikin marah,Negative
khidmat langgan orang tak boleh harap langsung aku tanya dorang buat tidak tahu je,Negative
baju kurta saya ada banyak benang keluar macam takde check quality langsung,Negative
aku suka dengan reka bentuk baju kurta ni cuma alit kain agak soso,Neutral
khidmat langgan baik tapi takde la terlalu sangat responsif,Neutral
baju kurta sampai dalam ada baik tapi tak ada yang standout,Neutral
sizing tak tepat langsung aku rasa macam baju sekolah zaman rendah,Negative
baju kurta saya dah koyakkum pakai memang tak alit langsung,Negative
baju melayu yang aku beli ni okay la alit kain memang standard dan harga pun munasabah,Neutral
saya beli baju melayu ni untuk raya dan ia memang cukup tradisional suka,Neutral
kain tak terlalu tebal sesuai untuk cuaca panas cara seluruh muas,Neutral
baju melayu yang saya beli cukup sesuai dengan tema acara yang saya hadir lawan baik,Neutral
khidmat langgan baik mereka bantu dengan tanya saya tenta tening terima kasih,Neutral
sabab deliver delivery lambat sangat acara dah habis baju sampai,Negative
kain baju melayu yang aku dapat bau pelik seolaholah tak cuci betulbetul,Negative
